slugSeason,namePlayer,groupPosition,yearSeason,slugPosition,isSeasonCurrent,slugPlayerSeason,slugPlayerBREF,agePlayer,slugTeamBREF,countGames,isHOFPlayer,slugTeamsBREF,idPlayerNBA,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerPhoto,urlPlayerStats,urlPlayerActionPhoto,minutes,ratioPER,pctTrueShooting,pct3PRate,pctFTRate,pctORB,pctDRB,pctTRB,pctAST,pctSTL,pctBLK,pctTOV,pctUSG,ratioOWS,ratioDWS,ratioWS,ratioWSPer48,ratioOBPM,ratioDBPM,ratioBPM,ratioVORP,countTeamsPlayerSeason,countGamesStarted,pctFG,pctFG3,pctFG2,pctEFG,pctFT,minutesTotals,fgmTotals,fgaTotals,fg3mTotals,fg3aTotals,fg2mTotals,fg2aTotals,ftmTotals,ftaTotals,orbTotals,drbTotals,trbTotals,astTotals,stlTotals,blkTotals,tovTotals,pfTotals,ptsTotals,countTeamsPlayerSeasonTotals,urlPlayerBREF
1992-93,Jeff Hornacek,G,1993,PG,FALSE,hornaje01_1993,hornaje01,29,PHI,79,FALSE,PHI,204,https://stats.nba.com/media/players/230x185/204.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204.png,https://stats.nba.com/player/204,https://stats.nba.com/media/players/700/204.png,2860,18.2,0.553,0.201,0.233,0.032,0.09699999999999999,0.065,0.316,0.022000000000000002,0.4,0.14,0.235,4.5,1.8,6.3,0.106,2.2,-0.5,1.7,2.6,1,78,0.47,0.39,0.49,0.509,0.865,2860,582,1239,97,249,485,990,250,289,84,258,342,548,131,21,222,203,1511,1,http://www.basketball-reference.com/players/h/hornaje01.html
1992-93,Robert Horry,F,1993,SF,FALSE,horryro01_1993,horryro01,22,HOU,79,FALSE,HOU,109,https://stats.nba.com/media/players/230x185/109.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/109.png,https://stats.nba.com/media/players/230x185/109.png,https://stats.nba.com/player/109,https://stats.nba.com/media/players/700/109.png,2330,12.1,0.52,0.069,0.293,0.057999999999999996,0.128,0.095,0.11900000000000001,0.017,0.022000000000000002,0.168,0.175,0.4,3.2,3.6,0.075,-1.7,1,-0.7,0.8,1,79,0.474,0.255,0.49,0.482,0.715,2330,323,682,12,47,311,635,143,200,113,279,392,191,80,83,156,210,801,1,http://www.basketball-reference.com/players/h/horryro01.html
1992-93,Byron Houston,F,1993,PF,FALSE,houstby01_1993,houstby01,23,GSW,79,FALSE,GSW,780,https://stats.nba.com/media/players/230x185/780.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/780.png,https://stats.nba.com/media/players/230x185/780.png,https://stats.nba.com/player/780,https://stats.nba.com/media/players/700/780.png,1274,10.6,0.513,0.022,0.597,0.10400000000000001,0.172,0.138,0.071,0.017,0.021,0.175,0.159,0.5,1.3,1.8,0.068,-3.8,0.3,-3.5,-0.5,1,8,0.446,0.286,0.45,0.449,0.665,1274,145,325,2,7,143,318,129,194,119,196,315,69,44,43,87,253,421,1,http://www.basketball-reference.com/players/h/houstby01.html
1992-93,Brian Howard,F,1993,SF,FALSE,howarbr01_1993,howarbr01,25,DAL,68,FALSE,DAL,77065,https://stats.nba.com/media/players/230x185/77065.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77065.png,https://stats.nba.com/media/players/230x185/77065.png,https://stats.nba.com/player/77065,https://stats.nba.com/media/players/700/77065.png,1295,9.7,0.482,0.017,0.227,0.051,0.134,0.08800000000000001,0.078,0.02,0.017,0.13,0.165,-0.2,0.5,0.3,0.011,-4,-0.3,-4.2,-0.7,1,22,0.442,0.143,0.447,0.443,0.766,1295,183,414,1,7,182,407,72,94,66,146,212,67,55,34,68,217,439,1,http://www.basketball-reference.com/players/h/howarbr01.html
1992-93,Stephen Howard,F,1993,SF,FALSE,howarst01_1993,howarst01,22,UTA,49,FALSE,UTA,1128,https://stats.nba.com/media/players/230x185/1128.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1128.png,https://stats.nba.com/media/players/230x185/1128.png,https://stats.nba.com/player/1128,https://stats.nba.com/media/players/700/1128.png,260,9.8,0.447,0,0.57,0.11800000000000001,0.14400000000000002,0.131,0.054000000000000006,0.028999999999999998,0.03,0.165,0.23,-0.3,0.4,0.1,0.018,-6.1,0.3,-5.9,-0.3,1,0,0.376,0,0.376,0.376,0.642,260,35,93,0,0,35,93,34,53,26,34,60,10,15,12,23,58,104,1,http://www.basketball-reference.com/players/h/howarst01.html
1992-93,Jay Humphries,G,1993,SG,FALSE,humphja01_1993,humphja01,30,UTA,78,FALSE,UTA,77081,https://stats.nba.com/media/players/230x185/77081.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77081.png,https://stats.nba.com/media/players/230x185/77081.png,https://stats.nba.com/player/77081,https://stats.nba.com/media/players/700/77081.png,2034,10.5,0.482,0.114,0.197,0.023,0.055999999999999994,0.04,0.222,0.025,0.3,0.156,0.179,0,1.8,1.8,0.043,-2.9,0.3,-2.6,-0.3,1,20,0.436,0.2,0.466,0.447,0.777,2034,287,659,15,75,272,584,101,130,40,103,143,317,101,11,132,236,690,1,http://www.basketball-reference.com/players/h/humphja01.html
1992-93,Byron Irvin,G,1993,SG,FALSE,irvinby01_1993,irvinby01,26,WSB,4,FALSE,WSB,77096,https://stats.nba.com/media/players/230x185/77096.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77096.png,https://stats.nba.com/media/players/230x185/77096.png,https://stats.nba.com/player/77096,https://stats.nba.com/media/players/700/77096.png,45,9.5,0.533,0.056,0.333,0.049,0.051,0.05,0.07,0.011000000000000001,0,0.162,0.233,0,0,0,-0.028,-3.5,-2.6,-6.2,0,1,2,0.5,0.01,0.471,0.528,0.5,45,9,18,1,1,8,17,3,6,2,2,4,2,1,0,4,5,22,1,http://www.basketball-reference.com/players/i/irvinby01.html
1992-93,Mike Iuzzolino,G,1993,PG,FALSE,iuzzomi01_1993,iuzzomi01,25,DAL,70,FALSE,DAL,77098,https://stats.nba.com/media/players/230x185/77098.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77098.png,https://stats.nba.com/media/players/230x185/77098.png,https://stats.nba.com/player/77098,https://stats.nba.com/media/players/700/77098.png,1769,12.7,0.561,0.301,0.312,0.017,0.073,0.043,0.27399999999999997,0.013000000000000001,0.2,0.192,0.155,1.8,-0.3,1.5,0.041,0,-2.4,-2.5,-0.2,1,23,0.462,0.375,0.5,0.519,0.765,1769,221,478,54,144,167,334,114,149,31,109,140,328,49,6,129,101,610,1,http://www.basketball-reference.com/players/i/iuzzomi01.html
1992-93,Jaren Jackson,G,1993,SG,FALSE,jacksja01_1993,jacksja01,25,LAC,34,FALSE,LAC,1114,https://stats.nba.com/media/players/230x185/1114.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1114.png,https://stats.nba.com/media/players/230x185/1114.png,https://stats.nba.com/player/1114,https://stats.nba.com/media/players/700/1114.png,350,11.3,0.468,0.039,0.211,0.059000000000000004,0.064,0.062,0.135,0.026000000000000002,0.9,0.10800000000000001,0.184,0.1,0.3,0.4,0.061,-2.5,0.7,-1.8,0,1,0,0.414,0.4,0.415,0.422,0.852,350,53,128,2,5,51,123,23,27,19,20,39,35,19,5,17,45,131,1,http://www.basketball-reference.com/players/j/jacksja01.html
1992-93,Jim Jackson,F,1993,SF,FALSE,jacksji01_1993,jacksji01,22,DAL,28,FALSE,DAL,754,https://stats.nba.com/media/players/230x185/754.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/754.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/754.png,https://stats.nba.com/player/754,https://stats.nba.com/media/players/700/754.png,938,11,0.451,0.157,0.197,0.044000000000000004,0.10099999999999999,0.07,0.231,0.021,0.8,0.185,0.27,-1.8,0.2,-1.6,-0.081,-2,-2.5,-4.5,-0.6,1,28,0.395,0.288,0.415,0.417,0.739,938,184,466,21,73,163,393,68,92,42,80,122,131,40,11,115,80,457,1,http://www.basketball-reference.com/players/j/jacksji01.html
